sxx,sxy,syy,x,y
-6.67356,0.021256,0.00362395,5.12605,0.030303
-6.4448,0.0197333,0.00364847,5.21008,0.030303
-6.22002,0.0182045,0.00367196,5.29412,0.030303
-5.99923,0.0166739,0.00369439,5.37815,0.030303
-5.78242,0.0151453,0.00371573,5.46218,0.030303
-5.5696,0.0136227,0.00373595,5.54622,0.030303
-5.36075,0.0121095,0.00375502,5.63025,0.030303
-5.1559,0.0106094,0.00377292,5.71429,0.030303
-4.95502,0.00912573,0.00378961,5.79832,0.030303
-4.75813,0.00766178,0.00380508,5.88235,0.030303
-4.56522,0.00622067,0.00381928,5.96639,0.030303
-4.3763,0.00480542,0.0038322,6.05042,0.030303
-4.19135,0.0034189,0.00384381,6.13445,0.030303
-4.01039,0.00206387,0.0038541,6.21849,0.030303
-3.83341,0.00074297,0.00386303,6.30252,0.030303
-3.66042,-0.000541263,0.0038706,6.38655,0.030303
-3.4914,-0.00178642,0.00387677,6.47059,0.030303
-3.32637,-0.0029902,0.00388154,6.55462,0.030303
-3.16531,-0.00415041,0.00388489,6.63866,0.030303
-3.00824,-0.00526496,0.00388679,6.72269,0.030303
-2.85515,-0.00633186,0.00388725,6.80672,0.030303
-2.70604,-0.00734923,0.00388625,6.89076,0.030303
-2.56091,-0.00831528,0.00388378,6.97479,0.030303
-2.41976,-0.00922833,0.00387983,7.05882,0.030303
-2.28259,-0.0100868,0.0038744,7.14286,0.030303
-2.1494,-0.0108891,0.00386747,7.22689,0.030303
-2.02019,-0.0116339,0.00385904,7.31092,0.030303
-1.89496,-0.0123198,0.00384912,7.39496,0.030303
-1.77371,-0.0129455,0.0038377,7.47899,0.030303
-1.65644,-0.01351,0.00382477,7.56303,0.030303
-1.54315,-0.0140121,0.00381034,7.64706,0.030303
-1.43384,-0.0144507,0.00379442,7.73109,0.030303
-1.32851,-0.014825,0.003777,7.81513,0.030303
-1.22716,-0.0151341,0.00375809,7.89916,0.030303
-1.12979,-0.015377,0.00373769,7.98319,0.030303
-1.03639,-0.0155532,0.00371581,8.06723,0.030303
-0.946976,-0.0156618,0.00369246,8.15126,0.030303
-0.86154,-0.0157024,0.00366764,8.23529,0.030303
-0.780082,-0.0156742,0.00364136,8.31933,0.030303
-0.702603,-0.0155768,0.00361363,8.40336,0.030303
-0.629103,-0.0154098,0.00358446,8.48739,0.030303
-0.559581,-0.0151727,0.00355387,8.57143,0.030303
-0.494038,-0.0148652,0.00352185,8.65546,0.030303
-0.432472,-0.0144869,0.00348842,8.7395,0.030303
-0.374885,-0.0140375,0.00345359,8.82353,0.030303
-0.321277,-0.0135167,0.00341733,8.90756,0.030303
-0.271647,-0.0129238,0.0033796,8.9916,0.030303
-0.226,-0.012258,0.0033403,9.07563,0.030303
-0.184339,-0.0115173,0.00329921,9.15966,0.030303
-0.146676,-0.0106981,0.00325588,9.2437,0.030303
-0.113034,-0.00979371,0.0032095,9.32773,0.030303
-0.0834553,-0.00879205,0.00315868,9.41176,0.030303
-0.0580185,-0.00767258,0.00310119,9.4958,0.030303
-0.0368539,-0.00640277,0.00303375,9.57983,0.030303
-0.0201655,-0.00493676,0.00295252,9.66387,0.030303
-0.00823111,-0.00322547,0.00285618,9.7479,0.030303
-0.00131425,-0.00127384,0.00276222,9.83193,0.030303
0.000764155,0.000579162,0.00279197,9.91597,0.030303
8.67E-05,0.000472882,0.00350899,10,0.030303
-29.3029,-6.75638,-11.7259,0,0.040404
-28.6445,-1.48951,-0.197008,0.0840336,0.040404
-26.1702,-0.180321,-0.0418407,0.168067,0.040404
-25.6266,-0.0279256,0.00668738,0.252101,0.040404
-25.3283,-0.0442624,0.0118685,0.336134,0.040404
-25.0328,-0.0758938,0.00920574,0.420168,0.040404
-24.6995,-0.0989873,0.00623735,0.504202,0.040404
-24.3306,-0.111393,0.00402059,0.588235,0.040404
-23.937,-0.11546,0.00260433,0.672269,0.040404
-23.529,-0.114021,0.00181108,0.756303,0.040404
-23.114,-0.10933,0.00143982,0.840336,0.040404
-22.6969,-0.10293,0.00132939,0.92437,0.040404
-22.2805,-0.0957854,0.00136815,1.0084,0.040404
-21.8664,-0.0884561,0.0014855,1.09244,0.040404
-21.4555,-0.0812469,0.00163973,1.17647,0.040404
-21.0482,-0.0743115,0.00180769,1.2605,0.040404
-20.6447,-0.0677193,0.00197733,1.34454,0.040404
-20.2451,-0.0614949,0.00214284,1.42857,0.040404
-19.8494,-0.0556411,0.00230175,1.51261,0.040404
-19.4577,-0.0501503,0.00245326,1.59664,0.040404
-19.0699,-0.045011,0.00259737,1.68067,0.040404
-18.686,-0.04021,0.00273439,1.76471,0.040404
-18.306,-0.0357342,0.00286476,1.84874,0.040404
-17.9299,-0.031571,0.00298891,1.93277,0.040404
