x,y,ux,uy
0,0.4,0,0
0.1,0.4,-4.23E-05,-7.98E-06
0.2,0.4,-9.05E-05,-9.53E-05
0.3,0.4,-0.000141768,-0.000247459
0.4,0.4,-0.000193631,-0.00045558
0.5,0.4,-0.000244691,-0.000715098
0.6,0.4,-0.000294532,-0.0010237
0.7,0.4,-0.000343169,-0.00138002
0.8,0.4,-0.000390734,-0.00178302
0.9,0.4,-0.000437357,-0.00223177
1,0.4,-0.000483131,-0.0027253
1.1,0.4,-0.000528121,-0.00326269
1.2,0.4,-0.000572372,-0.00384297
1.3,0.4,-0.000615916,-0.0044652
1.4,0.4,-0.000658779,-0.00512841
1.5,0.4,-0.000700984,-0.00583168
1.6,0.4,-0.00074255,-0.00657407
1.7,0.4,-0.000783496,-0.00735466
1.8,0.4,-0.000823841,-0.00817254
1.9,0.4,-0.0008636,-0.00902681
2,0.4,-0.000902791,-0.00991658
2.1,0.4,-0.000941428,-0.010841
2.2,0.4,-0.000979526,-0.0117991
2.3,0.4,-0.0010171,-0.0127901
2.4,0.4,-0.00105416,-0.0138132
2.5,0.4,-0.00109072,-0.0148676
2.6,0.4,-0.00112679,-0.0159523
2.7,0.4,-0.00116238,-0.0170665
2.8,0.4,-0.00119751,-0.0182096
2.9,0.4,-0.00123217,-0.0193806
3,0.4,-0.00126639,-0.0205789
3.1,0.4,-0.00130017,-0.0218036
3.2,0.4,-0.00133352,-0.023054
3.3,0.4,-0.00136645,-0.0243293
3.4,0.4,-0.00139895,-0.0256288
3.5,0.4,-0.00143105,-0.0269517
3.6,0.4,-0.00146275,-0.0282975
3.7,0.4,-0.00149405,-0.0296652
3.8,0.4,-0.00152497,-0.0310544
3.9,0.4,-0.00155549,-0.0324642
4,0.4,-0.00158564,-0.033894
4.1,0.4,-0.00161542,-0.0353431
4.2,0.4,-0.00164483,-0.036811
4.3,0.4,-0.00167387,-0.0382969
4.4,0.4,-0.00170256,-0.0398002
4.5,0.4,-0.00173089,-0.0413204
4.6,0.4,-0.00175887,-0.0428567
4.7,0.4,-0.00178651,-0.0444087
4.8,0.4,-0.0018138,-0.0459757
4.9,0.4,-0.00184076,-0.0475571
5,0.4,-0.00186738,-0.0491525
5.1,0.4,-0.00189368,-0.0507611
5.2,0.4,-0.00191965,-0.0523826
5.3,0.4,-0.00194529,-0.0540163
5.4,0.4,-0.00197062,-0.0556618
5.5,0.4,-0.00199564,-0.0573186
5.6,0.4,-0.00202034,-0.0589861
5.7,0.4,-0.00204474,-0.0606638
5.8,0.4,-0.00206883,-0.0623514
5.9,0.4,-0.00209263,-0.0640482
6,0.4,-0.00211613,-0.0657539
6.1,0.4,-0.00213934,-0.0674681
6.2,0.4,-0.00216227,-0.0691902
6.3,0.4,-0.00218491,-0.07092
6.4,0.4,-0.00220728,-0.0726569
6.5,0.4,-0.00222937,-0.0744005
6.6,0.4,-0.00225119,-0.0761506
6.7,0.4,-0.00227275,-0.0779066
6.8,0.4,-0.00229405,-0.0796683
6.9,0.4,-0.0023151,-0.0814353
7,0.4,-0.00233589,-0.0832072
7.1,0.4,-0.00235644,-0.0849837
7.2,0.4,-0.00237676,-0.0867645
7.3,0.4,-0.00239684,-0.0885492
7.4,0.4,-0.00241669,-0.0903377
7.5,0.4,-0.00243632,-0.0921295
7.6,0.4,-0.00245574,-0.0939244
7.7,0.4,-0.00247495,-0.0957221
7.8,0.4,-0.00249395,-0.0975225
7.9,0.4,-0.00251276,-0.0993252
8,0.4,-0.00253138,-0.10113
8.1,0.4,-0.00254981,-0.102937
8.2,0.4,-0.00256807,-0.104745
8.3,0.4,-0.00258616,-0.106555
8.4,0.4,-0.00260409,-0.108366
8.5,0.4,-0.00262187,-0.110178
8.6,0.4,-0.0026395,-0.111991
8.7,0.4,-0.00265699,-0.113805
8.8,0.4,-0.00267436,-0.115619
8.9,0.4,-0.0026916,-0.117434
9,0.4,-0.00270873,-0.119249
9.1,0.4,-0.00272576,-0.121065
9.2,0.4,-0.00274269,-0.12288
9.3,0.4,-0.00275954,-0.124696
9.4,0.4,-0.00277631,-0.126511
9.5,0.4,-0.00279301,-0.128327
9.6,0.4,-0.00280966,-0.130142
9.7,0.4,-0.00282624,-0.131957
9.8,0.4,-0.00284279,-0.133772
9.9,0.4,-0.00285929,-0.135587
10,0.4,-0.00287578,-0.137401
0,0.5,0,0
0.1,0.5,1.58E-07,-3.31E-06
0.2,0.5,3.72E-07,-8.71E-05
0.3,0.5,5.68E-07,-0.000237442
0.4,0.5,6.90E-07,-0.0004451
0.5,0.5,6.99E-07,-0.000704816
0.6,0.5,5.64E-07,-0.00101385
0.7,0.5,2.62E-07,-0.00137064
0.8,0.5,-2.30E-07,-0.0017741
0.9,0.5,-9.28E-07,-0.00222328
1,0.5,-1.85E-06,-0.00271725
1.1,0.5,-3.01E-06,-0.00325507
1.2,0.5,-4.42E-06,-0.00383578
1.3,0.5,-6.09E-06,-0.00445845
1.4,0.5,-8.03E-06,-0.00512211
1.5,0.5,-1.02E-05,-0.00582584
1.6,0.5,-1.28E-05,-0.0065687
1.7,0.5,-1.56E-05,-0.00734976
1.8,0.5,-1.87E-05,-0.00816811
1.9,0.5,-2.21E-05,-0.00902286
2,0.5,-2.59E-05,-0.00991311
2.1,0.5,-2.99E-05,-0.010838
2.2,0.5,-3.43E-05,-0.0117966
2.3,0.5,-3.90E-05,-0.0127882
2.4,0.5,-4.41E-05,-0.0138117
2.5,0.5,-4.94E-05,-0.0148665
2.6,0.5,-5.51E-05,-0.0159517
2.7,0.5,-6.12E-05,-0.0170665
2.8,0.5,-6.75E-05,-0.01821
2.9,0.5,-7.42E-05,-0.0193816
3,0.5,-8.12E-05,-0.0205803
3.1,0.5,-8.86E-05,-0.0218055
3.2,0.5,-9.62E-05,-0.0230563
3.3,0.5,-0.000104224,-0.0243321
3.4,0.5,-0.000112523,-0.025632
3.5,0.5,-0.000121134,-0.0269555
3.6,0.5,-0.000130053,-0.0283016
3.7,0.5,-0.000139274,-0.0296698
3.8,0.5,-0.000148794,-0.0310594
3.9,0.5,-0.000158607,-0.0324696
4,0.5,-0.000168707,-0.0338999
4.1,0.5,-0.000179089,-0.0353494
4.2,0.5,-0.000189747,-0.0368177
4.3,0.5,-0.000200675,-0.038304
4.4,0.5,-0.000211867,-0.0398077
4.5,0.5,-0.000223316,-0.0413282
4.6,0.5,-0.000235016,-0.042865
4.7,0.5,-0.000246959,-0.0444173
4.8,0.5,-0.00025914,-0.0459846
4.9,0.5,-0.000271551,-0.0475664
5,0.5,-0.000284186,-0.0491621
5.1,0.5,-0.000297037,-0.0507711
5.2,0.5,-0.000310097,-0.0523929
5.3,0.5,-0.000323359,-0.0540269
5.4,0.5,-0.000336816,-0.0556727
5.5,0.5,-0.000350462,-0.0573298
5.6,0.5,-0.000364288,-0.0589975
5.7,0.5,-0.000378288,-0.0606756
5.8,0.5,-0.000392455,-0.0623634
5.9,0.5,-0.000406783,-0.0640605
6,0.5,-0.000421263,-0.0657664
6.1,0.5,-0.000435889,-0.0674808
6.2,0.5,-0.000450655,-0.0692032
6.3,0.5,-0.000465553,-0.0709332
6.4,0.5,-0.000480578,-0.0726703
6.5,0.5,-0.000495722,-0.0744141
6.6,0.5,-0.00051098,-0.0761644
6.7,0.5,-0.000526345,-0.0779206
6.8,0.5,-0.00054181,-0.0796824
6.9,0.5,-0.000557371,-0.0814496
7,0.5,-0.000573021,-0.0832216
7.1,0.5,-0.000588755,-0.0849983
7.2,0.5,-0.000604566,-0.0867792
7.3,0.5,-0.00062045,-0.0885641
7.4,0.5,-0.000636401,-0.0903527
7.5,0.5,-0.000652414,-0.0921446
