x,y,sxx,sxy,syy
1.09244,0.030303,-223.468,-1.58092,0.0283246
1.17647,0.030303,-219.272,-1.56736,0.0281397
1.2605,0.030303,-215.114,-1.55296,0.0280567
1.34454,0.030303,-210.995,-1.53819,0.028023
1.42857,0.030303,-206.915,-1.52328,0.0280116
1.51261,0.030303,-202.875,-1.50832,0.0280094
1.59664,0.030303,-198.875,-1.49335,0.0280103
1.68067,0.030303,-194.914,-1.47839,0.0280119
1.76471,0.030303,-190.994,-1.46344,0.0280133
1.84874,0.030303,-187.113,-1.4485,0.0280143
1.93277,0.030303,-183.272,-1.43356,0.0280149
2.01681,0.030303,-179.471,-1.41862,0.0280153
2.10084,0.030303,-175.71,-1.40369,0.0280155
2.18487,0.030303,-171.988,-1.38875,0.0280156
2.26891,0.030303,-168.306,-1.37382,0.0280156
2.35294,0.030303,-164.664,-1.35889,0.0280156
2.43697,0.030303,-161.062,-1.34395,0.0280157
2.52101,0.030303,-157.5,-1.32902,0.0280157
2.60504,0.030303,-153.978,-1.31409,0.0280157
2.68908,0.030303,-150.495,-1.29915,0.0280157
2.77311,0.030303,-147.052,-1.28422,0.0280157
2.85714,0.030303,-143.649,-1.26929,0.0280157
2.94118,0.030303,-140.286,-1.25436,0.0280157
3.02521,0.030303,-136.962,-1.23942,0.0280157
3.10924,0.030303,-133.679,-1.22449,0.0280157
3.19328,0.030303,-130.435,-1.20956,0.0280157
3.27731,0.030303,-127.231,-1.19463,0.0280157
3.36134,0.030303,-124.066,-1.17969,0.0280157
3.44538,0.030303,-120.942,-1.16476,0.0280157
3.52941,0.030303,-117.857,-1.14983,0.0280157
3.61345,0.030303,-114.812,-1.13489,0.0280157
3.69748,0.030303,-111.807,-1.11996,0.0280157
3.78151,0.030303,-108.842,-1.10503,0.0280157
3.86555,0.030303,-105.917,-1.0901,0.0280157
3.94958,0.030303,-103.031,-1.07516,0.0280157
4.03361,0.030303,-100.185,-1.06023,0.0280157
4.11765,0.030303,-97.3791,-1.0453,0.0280157
4.20168,0.030303,-94.6129,-1.03036,0.0280157
4.28571,0.030303,-91.8864,-1.01543,0.0280157
4.36975,0.030303,-89.1998,-1.0005,0.0280157
4.45378,0.030303,-86.553,-0.985566,0.0280157
4.53782,0.030303,-83.9459,-0.970633,0.0280157
4.62185,0.030303,-81.3787,-0.9557,0.0280157
4.70588,0.030303,-78.8513,-0.940767,0.0280157
4.78992,0.030303,-76.3636,-0.925834,0.0280157
4.87395,0.030303,-73.9158,-0.910902,0.0280157
4.95798,0.030303,-71.5078,-0.895969,0.0280157
5.04202,0.030303,-69.1396,-0.881036,0.0280157
5.12605,0.030303,-66.8111,-0.866103,0.0280157
5.21008,0.030303,-64.5225,-0.85117,0.0280157
5.29412,0.030303,-62.2737,-0.836238,0.0280157
5.37815,0.030303,-60.0647,-0.821305,0.0280157
5.46218,0.030303,-57.8955,-0.806372,0.0280157
5.54622,0.030303,-55.7661,-0.791439,0.0280157
5.63025,0.030303,-53.6765,-0.776506,0.0280157
5.71429,0.030303,-51.6267,-0.761574,0.0280157
5.79832,0.030303,-49.6167,-0.746641,0.0280157
5.88235,0.030303,-47.6464,-0.731708,0.0280157
5.96639,0.030303,-45.716,-0.716775,0.0280157
6.05042,0.030303,-43.8255,-0.701842,0.0280157
6.13445,0.030303,-41.9747,-0.68691,0.0280157
6.21849,0.030303,-40.1637,-0.671977,0.0280157
6.30252,0.030303,-38.3925,-0.657044,0.0280157
6.38655,0.030303,-36.6611,-0.642111,0.0280157
6.47059,0.030303,-34.9695,-0.627178,0.0280157
6.55462,0.030303,-33.3177,-0.612245,0.0280157
6.63866,0.030303,-31.7057,-0.597313,0.0280157
6.72269,0.030303,-30.1335,-0.58238,0.0280157
6.80672,0.030303,-28.6012,-0.567447,0.0280157
6.89076,0.030303,-27.1086,-0.552514,0.0280157
6.97479,0.030303,-25.6558,-0.537581,0.0280157
7.05882,0.030303,-24.2428,-0.522649,0.0280157
7.14286,0.030303,-22.8697,-0.507716,0.0280157
7.22689,0.030303,-21.5363,-0.492783,0.0280157
7.31092,0.030303,-20.2427,-0.47785,0.0280157
7.39496,0.030303,-18.989,-0.462917,0.0280157
7.47899,0.030303,-17.775,-0.447985,0.0280157
7.56303,0.030303,-16.6008,-0.433052,0.0280157
7.64706,0.030303,-15.4665,-0.418119,0.0280157
7.73109,0.030303,-14.3719,-0.403186,0.0280157
7.81513,0.030303,-13.3172,-0.388253,0.0280157
7.89916,0.030303,-12.3022,-0.37332,0.0280157
7.98319,0.030303,-11.3271,-0.358388,0.0280157
8.06723,0.030303,-10.3917,-0.343455,0.0280157
8.15126,0.030303,-9.49617,-0.328522,0.0280157
8.23529,0.030303,-8.64043,-0.313589,0.0280157
8.31933,0.030303,-7.82449,-0.298657,0.0280157
8.40336,0.030303,-7.04835,-0.283724,0.0280157
8.48739,0.030303,-6.31201,-0.268792,0.0280158
8.57143,0.030303,-5.61547,-0.25386,0.0280158
8.65546,0.030303,-4.95873,-0.238928,0.0280159
8.7395,0.030303,-4.34179,-0.223996,0.028016
8.82353,0.030303,-3.76465,-0.209065,0.0280159
8.90756,0.030303,-3.22731,-0.194132,0.0280156
8.9916,0.030303,-2.72978,-0.179195,0.0280145
9.07563,0.030303,-2.27209,-0.164246,0.0280118
9.15966,0.030303,-1.85429,-0.149268,0.0280054
9.2437,0.030303,-1.47649,-0.134228,0.027992
9.32773,0.030303,-1.13892,-0.119065,0.0279653
9.41176,0.030303,-0.842024,-0.103665,0.027915
9.4958,0.030303,-0.586577,-0.0878361,0.0278248
9.57983,0.030303,-0.373902,-0.0712765,0.027673
9.66387,0.030303,-0.206057,-0.0535613,0.0274375
9.7479,0.030303,-0.0858359,-0.034246,0.027126
9.83193,0.030303,-0.0158696,-0.0134233,0.0269258
9.91597,0.030303,0.00579605,0.00551465,0.0279606
10,0.030303,0.000659789,0.00411716,0.0351606
0,0.040404,-290.716,-51.4432,-81.8274
0.0840336,0.040404,-283.765,-12.8862,-1.39779
0.168067,0.040404,-264.322,-2.76914,-0.3516
0.252101,0.040404,-258.493,-1.42313,0.0292831
0.336134,0.040404,-254.737,-1.45139,0.101077
0.420168,0.040404,-251.183,-1.66671,0.0964312
0.504202,0.040404,-247.462,-1.85659,0.079701
0.588235,0.040404,-243.544,-1.98588,0.0643714
0.672269,0.040404,-239.483,-2.06148,0.0531641
0.756303,0.040404,-235.34,-2.09862,0.0458253
0.840336,0.040404,-231.163,-2.11095,0.041361
0.92437,0.040404,-226.982,-2.10841,0.0387996
1.0084,0.040404,-222.817,-2.09743,0.0374052
1.09244,0.040404,-218.679,-2.08192,0.0366843
1.17647,0.040404,-214.574,-2.0641,0.0363319
